Id;Label;Weight
172.17.71.177;"172.17.71.177";0.0078125
200.42.4.203;"200.42.4.203";0.015625
172.17.26.98;"172.17.26.98";0.015625
172.17.18.211;"172.17.18.211";0.0390625
172.17.73.161;"172.17.73.161";0.0078125
172.17.66.11;"172.17.66.11";0.0234375
172.17.35.129;"172.17.35.129";0.0078125
172.17.80.16;"172.17.80.16";0.015625
172.17.23.79;"172.17.23.79";0.015625
172.17.84.209;"172.17.84.209";0.015625
172.17.0.1;"172.17.0.1";0.46875
172.17.102.190;"172.17.102.190";0.0234375
172.17.97.203;"172.17.97.203";0.0078125
172.17.47.33;"172.17.47.33";0.0078125
172.17.93.189;"172.17.93.189";0.0078125
172.17.96.227;"172.17.96.227";0.0078125
172.17.79.219;"172.17.79.219";0.03125
172.17.32.250;"172.17.32.250";0.046875
172.17.109.109;"172.17.109.109";0.0078125
172.17.116.255;"172.17.116.255";0.03125
172.17.77.241;"172.17.77.241";0.0078125
172.17.77.176;"172.17.77.176";0.0625
0.0.0.0;"0.0.0.0";0.015625
172.17.55.243;"172.17.55.243";0.015625
172.17.19.247;"172.17.19.247";0.015625
172.17.22.247;"172.17.22.247";0.0078125
172.17.30.249;"172.17.30.249";0.0078125
172.17.116.68;"172.17.116.68";0.0078125
172.17.36.80;"172.17.36.80";0.0390625
172.17.57.77;"172.17.57.77";0.0078125
172.17.26.213;"172.17.26.213";0.0078125
